language,model,category,overall_accuracy,disambig_accuracy,ambig_accuracy
ENG,DeekSeekv3,Age,80.14,98.97,61.3
ENG,DeekSeekv3,Disability_status,88.04,93.91,82.17
ENG,DeekSeekv3,ENG-linguistic(language_formality_biases),32.95,36.36,29.55
ENG,DeekSeekv3,Gender_identity,95.76,98.55,92.97
ENG,DeekSeekv3,Physical_appearance,86.62,82.46,90.79
ENG,DeekSeekv3,Regional,69.28,80.3,58.26
ENG,DeekSeekv3,Religion,53.75,69.5,38.0
ENG,DeekSeekv3,SES,82.24,89.67,74.81
ENG,gemini-2.0-flash-lite,Age,86.03,97.47,74.59
ENG,gemini-2.0-flash-lite,Disability_status,90.65,92.17,89.13
ENG,gemini-2.0-flash-lite,ENG-linguistic(language_formality_biases),35.23,40.91,29.55
ENG,gemini-2.0-flash-lite,Gender_identity,95.17,97.87,92.46
ENG,gemini-2.0-flash-lite,Physical_appearance,87.94,81.73,94.15
ENG,gemini-2.0-flash-lite,Regional,74.05,79.45,68.64
ENG,gemini-2.0-flash-lite,Religion,70.5,77.5,63.5
ENG,gemini-2.0-flash-lite,SES,85.61,90.68,80.53
ENG,gemini-2.0-flash,Age,84.14,96.51,71.78
ENG,gemini-2.0-flash,Disability_status,92.39,90.29,94.49
ENG,gemini-2.0-flash,ENG-linguistic(language_formality_biases),28.41,36.36,20.45
ENG,gemini-2.0-flash,Gender_identity,93.51,92.04,94.97
ENG,gemini-2.0-flash,Physical_appearance,88.3,78.51,98.1
ENG,gemini-2.0-flash,Regional,73.94,75.21,72.67
ENG,gemini-2.0-flash,Religion,56.5,66.0,47.0
ENG,gemini-2.0-flash,SES,76.28,74.85,77.71
ENG,GPT4.1-Mini,Age,80.03,99.59,60.48
ENG,GPT4.1-Mini,Disability_status,86.16,94.64,77.68
ENG,GPT4.1-Mini,ENG-linguistic(language_formality_biases),25.0,43.18,6.82
ENG,GPT4.1-Mini,Gender_identity,90.48,99.15,81.81
ENG,GPT4.1-Mini,Physical_appearance,87.72,82.16,93.27
ENG,GPT4.1-Mini,Regional,74.36,77.54,71.19
ENG,GPT4.1-Mini,Religion,67.0,73.0,61.0
ENG,GPT4.1-Mini,SES,77.84,87.52,68.16
ENG,GPT4.1-Nano,Age,75.89,88.49,63.29
ENG,GPT4.1-Nano,Disability_status,75.87,79.28,72.46
ENG,GPT4.1-Nano,ENG-linguistic(language_formality_biases),40.91,50.0,31.82
ENG,GPT4.1-Nano,Gender_identity,86.54,87.95,85.14
ENG,GPT4.1-Nano,Physical_appearance,74.78,66.37,83.19
ENG,GPT4.1-Nano,Regional,73.41,79.03,67.8
ENG,GPT4.1-Nano,Religion,71.75,78.0,65.5
ENG,GPT4.1-Nano,SES,81.65,87.52,75.78
ENG,GPT4.1,Age,79.76,99.18,60.34
ENG,GPT4.1,Disability_status,80.8,94.2,67.39
ENG,GPT4.1,ENG-linguistic(language_formality_biases),25.0,38.64,11.36
ENG,GPT4.1,Gender_identity,95.0,99.06,90.93
ENG,GPT4.1,Physical_appearance,86.26,81.29,91.23
ENG,GPT4.1,Regional,56.46,80.08,32.84
ENG,GPT4.1,Religion,45.25,74.0,16.5
ENG,GPT4.1,SES,77.99,88.37,67.61
UR,Deepseekv3,Age,79.32,81.64,76.99
UR,Deepseekv3,Disability_status,80.07,85.51,74.64
UR,Deepseekv3,ENG-linguistic(language_formality_biases),43.18,18.18,68.18
UR,Deepseekv3,Gender_identity,55.58,73.47,37.69
UR,Deepseekv3,Physical_appearance,52.85,67.25,38.45
UR,Deepseekv3,Regional,44.7,70.34,19.07
UR,Deepseekv3,Religion,38.5,60.5,16.5
UR,Deepseekv3,SES,75.39,87.0,63.78
UR,gemini-2.0-flash-lite,Age,63.08,84.86,41.3
UR,gemini-2.0-flash-lite,Disability_status,59.71,89.71,29.71
UR,gemini-2.0-flash-lite,ENG-linguistic(language_formality_biases),37.5,54.55,20.45
UR,gemini-2.0-flash-lite,Gender_identity,74.4,83.77,65.03
UR,gemini-2.0-flash-lite,Physical_appearance,65.06,80.85,49.27
UR,gemini-2.0-flash-lite,Regional,55.93,78.18,33.69
UR,gemini-2.0-flash-lite,Religion,56.75,77.0,36.5
UR,gemini-2.0-flash-lite,SES,73.59,92.53,54.64
UR,gemini-2.0-flash,Age,75.1,88.7,61.51
UR,gemini-2.0-flash,Disability_status,81.96,88.7,75.22
UR,gemini-2.0-flash,ENG-linguistic(language_formality_biases),34.09,38.64,29.55
UR,gemini-2.0-flash,Gender_identity,87.1,85.78,88.42
UR,gemini-2.0-flash,Physical_appearance,79.97,81.58,78.36
UR,gemini-2.0-flash,Regional,73.2,77.54,68.86
UR,gemini-2.0-flash,Religion,59.25,73.0,45.5
UR,gemini-2.0-flash,SES,83.21,92.31,74.11
UR,GPT4.1Mini,Age,71.03,89.04,53.01
UR,GPT4.1Mini,Disability_status,71.01,90.0,52.03
UR,GPT4.1Mini,ENG-linguistic(language_formality_biases),29.55,38.64,20.45
UR,GPT4.1Mini,Gender_identity,83.48,87.31,79.64
UR,GPT4.1Mini,Physical_appearance,70.98,76.46,65.5
UR,GPT4.1Mini,Regional,71.5,77.33,65.68
UR,GPT4.1Mini,Religion,65.25,71.5,59.0
UR,GPT4.1Mini,SES,74.76,90.56,58.95
UR,GPT4.1Nano,Age,65.92,63.29,68.56
UR,GPT4.1Nano,Disability_status,66.01,73.91,58.12
UR,GPT4.1Nano,ENG-linguistic(language_formality_biases),43.18,40.91,45.45
UR,GPT4.1Nano,Gender_identity,73.23,61.03,85.43
UR,GPT4.1Nano,Physical_appearance,69.81,56.58,83.04
UR,GPT4.1Nano,Regional,68.33,72.46,64.19
UR,GPT4.1Nano,Religion,68.0,66.5,69.5
UR,GPT4.1Nano,SES,77.19,72.99,81.39
UR,GPT4.1,Age,71.2,88.77,53.63
UR,GPT4.1,Disability_status,71.23,90.0,52.46
UR,GPT4.1,ENG-linguistic(language_formality_biases),29.55,38.64,20.45
UR,GPT4.1,Gender_identity,83.48,87.1,79.86
UR,GPT4.1,Physical_appearance,70.54,76.32,64.77
UR,GPT4.1,Regional,71.29,77.54,65.04
UR,GPT4.1,Religion,66.25,72.0,60.5
UR,GPT4.1,SES,75.0,90.53,59.47
